url_path,views_total,views_unique
/jodithea/Tutorial_GWAS_including_X_chromosome/tree/main/05_GWAS,5,2
/jodithea/Tutorial_GWAS_including_X_chromosome,3,3
/jodithea/Tutorial_GWAS_including_X_chromosome/blob/main/05_GWAS/05_Summary_statistics_files.sh,2,2
/jodithea/Tutorial_GWAS_including_X_chromosome/blob/main/05_GWAS/06_GWAS_plots.R,2,1
/jodithea/Tutorial_GWAS_including_X_chromosome/blob/main/README.md,2,1
/jodithea/Tutorial_GWAS_including_X_chromosome/tree/main,2,1
/jodithea/Tutorial_GWAS_including_X_chromosome/blob/main/02_QC/02_Sample_QC.sh,1,1
/jodithea/Tutorial_GWAS_including_X_chromosome/blob/main/05_GWAS/04_GWAS.sh,1,1
/jodithea/Tutorial_GWAS_including_X_chromosome/blob/main/06_Clumping/04_Clumping_results.sh,1,1
/jodithea/Tutorial_GWAS_including_X_chromosome/tree/main/02_QC,1,1
