url_path,views_total,views_unique
/jodithea/Sex_differences_genetics_depression/blob/main/06_LDSC/03_h2/01_a_LDSC_SNPh2_females.sh,13,2
/jodithea/Sex_differences_genetics_depression/blob/main/01_GWAS/02_GWAS_GxS_example_scripts/02_b_GCTA_sparseGRM_autosomes.sh,11,1
/jodithea/Sex_differences_genetics_depression,10,8
/jodithea/Sex_differences_genetics_depression/blob/main/04_Clumping/02_Clumping_female_Xchr.sh,10,2
/jodithea/Sex_differences_genetics_depression/blob/main/06_LDSC/01_Munge/01_Munge_metal_sumstats.sh,9,2
/jodithea/Sex_differences_genetics_depression/blob/main/01_GWAS/02_GWAS_GxS_example_scripts/01_filter_LD_prune_SNPs.sh,9,1
/jodithea/Sex_differences_genetics_depression/blob/main/01_GWAS/02_GWAS_GxS_example_scripts/02_a_GCTA_GRM_autosomes.sh,9,1
/jodithea/Sex_differences_genetics_depression/blob/main/01_GWAS/02_GWAS_GxS_example_scripts/03_fastGWA_GWAS_binary_autosomes_ChrX.sh,8,1
/jodithea/Sex_differences_genetics_depression/blob/main/04_Clumping/01_SNP_list.txt,7,2
/jodithea/Sex_differences_genetics_depression/blob/main/06_LDSC/02_Intercept/01_LDSC_intercept.sh,7,2
